,school,optional,details,applicants,pct_accept,sat_low,sat_high,act_low,act_high
55,Vassar College,1,Vassar College has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Vassar College does not offer merit-based aid.,8961,0.237,1370,1530,31.0,34.0
56,Rhode Island School of Design,1,Rhode Island School of Design offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are still required to submit test scores.,3913,0.239,1180,1440,26.0,32.0
57,University of Virginia,1,UVA has adopted a a one-year test optional policy for applicants in the 2020-21 admission cycle.,40839,0.239,1340,1500,30.0,34.0
58,Grinnell College,1,Grinnell has adopted a one-year test optional policy for all first-year students applying in the 2020-21 admission cycle.,7349,0.244,1370,1530,30.0,34.0
59,Babson College,1,Babson has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6362,0.24,1270,1450,28.0,32.0
60,University of California—​Irvine,1,UCI has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,95568,0.265,1180,1440,0.0,0.0
61,University of Miami,1,University of Miami has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,38919,0.271,1280,1420,29.0,32.0
62,Boston College,1,Boston College has adopted a one-year test optional policy for the 2020-21 admission cycle.,35552,0.272,1370,1490,31.0,34.0
63,Villanova University,1,Villanova has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,22909,0.282,1320,1470,31.0,34.0
64,University of Richmond,1,University of Richmond has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,12356,0.28300000000000003,1290,1460,30.0,33.0
65,California State Polytechnic University—​San Luis Obispo,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,54072,0.284,1250,1420,26.0,32.0
66,Trinity University,1,Trinity University has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Trinity will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,9864,0.28800000000000003,1290,1450,29.0,32.0
67,Case Western Reserve University,1,Case Western Reserve has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. Case Western Reserve will determine policies for future classes in winter 2020-21.,26642,0.293,1350,1520,30.0,34.0
68,University of Rochester,1,The University of Rochester offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,20216,0.295,1300,1500,29.0,33.0
69,University of California—​Santa Barbara,1,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,93457,0.29600000000000004,1260,1460,25.0,33.0
70,Wake Forest University,1,Wake Forest offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12559,0.29600000000000004,1320,1490,30.0,33.0
71,Skidmore College,1,Skidmore College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,11102,0.3,1220,1400,28.0,32.0
72,University of California—​San Diego,1,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,97901,0.302,1250,1470,26.0,33.0
73,Franklin and Marshall College,1,Franklin and Marshall College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. Franklin and Marshall does not offer merit-based aid.,9502,0.304,1250,1460,28.0,32.0
74,Brandeis University,1,Brandeis University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,11798,0.311,1280,1500,29.0,33.0
75,Lafayette College,1,Lafayette College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,8521,0.315,1250,1440,28.0,33.0
76,American University,1,American University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Homeschooled students are highly encouraged to submit 2 SAT Subject test scores.,18984,0.315,1220,1380,27.0,31.0
77,University of Texas—​Austin,1,The University of Texas--Austin has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,53525,0.318,1240,1470,27.0,33.0
78,Scripps College,1,Scripps offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3022,0.32,1333,1490,30.0,33.0
79,Lehigh University,1,Lehigh has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15649,0.321,1280,1450,29.0,33.0
80,Macalester College,1,Macalester College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Macalester recommends that homeschooled students and students who attend high schools that do not provide grades submit SAT or ACT scores.,6598,0.32299999999999995,1320,1510,29.0,33.0
81,Smith College,1,Smith College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,5597,0.325,1340,1520,30.0,33.0
82,Bryn Mawr College,1,Bryn Mawr offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,3332,0.331,1290,1510,29.0,33.0
83,Trinity College (Hartford),1,Trinity offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6096,0.335,1300,1460,29.0,32.0
84,Denison University,1,Denison offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,8042,0.33899999999999997,1210,1380,28.0,31.0
85,San Diego State University,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,69842,0.34,1110,1320,22.0,29.0
86,Kenyon College,1,Kenyon has adopted a one-year test optional policy for applicants both domestic and international in the 2020-21 admission cycle.,6662,0.341,1270,1460,29.0,33.0
87,College of the Holy Cross,1,The College of the Holy Cross offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7200,0.342,1260,1430,28.0,32.0
88,Bucknell University,1,Bucknell University adopted a five-year test optional policy for first-year students beginning with the 2020-21 admission cycle. However homeschooled students and international students are not eligible for test optional admission. Bucknell will use the five-year pilot period to assess the patterns of success for test score submitters and non-submitters.,9845,0.342,1255,1430,28.0,32.0
89,Emerson College,1,Emerson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,12941,0.35600000000000004,1200,1390,27.0,31.0
90,Pepperdine University,1,Pepperdine University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,11265,0.35700000000000004,1220,1420,26.0,32.0
91,Hampton University,1,Hampton University requires either the SAT or ACT however they will waive this requirement for students with a 3.3+ GPA or who rank in the top 10% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,13028,0.36,1040,1310,19.0,24.0
92,Oberlin College,1,Oberlin College has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Oberlin will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,7708,0.364,1280,1480,29.0,33.0
93,CUNY--Hunter,1,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,31030,0.364,1090,1260,0.0,0.0
94,Occidental College,1,Occidental has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,7501,0.36700000000000005,1300,1480,28.0,32.0
95,Connecticut College,1,Connecticut College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,6784,0.374,1310,1450,30.0,33.0
96,College of William and Mary,1,William and Mary has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,14680,0.377,1320,1510,30.0,34.0
97,Mount Holyoke College,1,Mount Holyoke College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3908,0.382,1270,1490,27.0,32.0
98,Berea College,1,Berea College has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,1576,0.382,1030,1213,22.0,27.0
99,Pratt Institute,1,The Pratt Institute has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,7941,0.385,1100,1320,26.0,30.0
100,Soka University of America,1,Soka University has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,464,0.38799999999999996,1180,1410,27.0,30.0
101,California State University--Los Angeles,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,39854,0.39,890,1080,15.0,20.0
102,California State University--Long Beach,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,71297,0.39299999999999996,1040,1250,20.0,26.0
103,Reed College,1,Reed has adopted a two-year test blind admission policy which means students' SAT and ACT scores will not be considered as part of their application review.,5815,0.395,1325,1520,30.0,34.0
104,Binghamton University—​SUNY,1,Binghamton University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,38755,0.39799999999999996,1310,1440,28.0,32.0
105,Dickinson College,1,Dickinson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6426,0.401,1240,1410,28.0,32.0
106,University of Tulsa,1,University of Tulsa has adopted a one-year test optional policy for first-year applicants entering in the Spring and Fall of 2021.,8526,0.408,1180,1410,25.0,32.0
107,George Washington University,1,George Washington University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants applying to the accelerated Seven-Year B.A./M.D. Program students who attend secondary schools that do not provide letter grades homeschooled students and recruited NCAA Division 1 athletes are not eligible for test optional admission.,26968,0.409,1280,1470,29.0,33.0
108,University of California—​Davis,1,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,76647,0.41200000000000003,1150,1410,25.0,31.0
109,Stevens Institute of Technology,1,Stevens Institute of Technology has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying to the Pre-Med and Pre-Law programs are not eligible for test optional admissions.,9265,0.414,1330,1480,30.0,33.0
110,St. Lawrence University,1,St. Lawrence offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,6998,0.424,1160,1350,24.0,30.0
111,Union College (Schenectady NY),1,Union College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and those applying for the Leadership in Medicine program or the 3+3 Accelerated Law Program are not eligible for test optional admission.,6086,0.429,1220,1420,27.0,32.0
112,Rensselaer Polytechnic Institute,1,Rensselaer has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,20402,0.43,1330,1500,29.0,33.0
113,Bentley University,1,Bentley University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9252,0.43200000000000005,1240,1410,28.0,32.0
114,CUNY--Baruch College,1,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,20303,0.434,1130,1330,0.0,0.0
115,Spelman College,1,Spelman has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,9106,0.434,1080,1230,22.0,26.0
116,Loyola Marymount University,1,Loyola Marymount University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,18592,0.43799999999999994,1230,1410,27.0,31.0
117,University of Maryland—​College Park,1,University of Maryland--College Park has adopted a one-year test optional policy for students applying for the Spring and Fall 2021 semesters.,32987,0.441,1280,1480,29.0,33.0
118,Stony Brook University—​SUNY,1,Stony Brook University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,37079,0.441,1230,1440,26.0,32.0
119,Rhodes College,1,Rhodes College has adopted a three-year test optional policy for all first-year applicants beginning with the 2020-21 admission cycle. After a three-year pilot period Rhodes will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5207,0.447,1220,1430,27.0,32.0
120,North Carolina State University—​Raleigh,1,NC State has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,30995,0.449,1250,1390,27.0,31.0
121,Baylor University,1,Baylor University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,34582,0.45299999999999996,1200,1380,26.0,32.0
122,University of Dallas,1,University of Dallas has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4676,0.45299999999999996,1150,1360,24.0,30.0
123,Gettysburg College,1,Gettysburg College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Gettysburg recommends that both international and homeschooled students submit SAT or ACT scores.,6269,0.45399999999999996,1270,1420,26.0,30.0
124,Fordham University,1,Fordham University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Fordham will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,46308,0.46,1250,1430,28.0,32.0
125,Texas Christian University,1,Texas Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19028,0.47100000000000003,1150,1350,25.0,31.0
126,Southern Methodist University,1,Southern Methodist University has adopted a one-year test optional policy for the 2020-21 admission cycle.,13959,0.473,1300,1480,29.0,33.0
127,Providence College,1,Providence College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,11478,0.475,1210,1350,27.0,31.0
128,St. Olaf College,1,St. Olaf College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5694,0.475,1190,1430,26.0,32.0
129,University of New Mexico,1,UNM offers a test optional policy which allows students to be considered for admission without test scores. However home-schooled and non-traditional students are not eligible for TO admission. Scores are also necessary for some scholarships.,12281,0.486,1040,1270,19.0,25.0
130,University of Georgia,1,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,26027,0.486,1240,1410,27.0,32.0
131,University of San Diego,1,University of San Diego offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13755,0.48700000000000004,1200,1350,26.0,31.0
132,University of Connecticut,1,Unversity of Connecticut has adopted a three-year test optional policy for all students beginning with the 2020-2021 admission cycle.,34886,0.488,1210,1420,26.0,31.0
133,Santa Clara University,1,Santa Clara University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Santa Clara will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,16300,0.488,1280,1440,28.0,32.0
134,Southwestern University,1,Southwestern University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,4766,0.49,1140,1320,23.0,29.0
135,Pennsylvania State University—​University Park,1,Pennsylvania State University--College Park has adopted a one-year test optional policy for students entering in the Summer and Fall of 2021.,71903,0.491,1160,1370,25.0,30.0
136,Marist College,1,Marist College offers a test optional policy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students applying to some programs are not eligible for test optional admission.,11260,0.49200000000000005,1210,1360,26.0,31.0
137,The College of New Jersey,1,The College of New Jersey has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,13824,0.493,1160,1360,25.0,30.0
138,Worcester Polytechnic Institute,1,Worcester Polytechnic Institute offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10645,0.494,1310,1470,29.0,33.0
139,Syracuse University,1,Syracuse has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,34981,0.499,1180,1370,25.0,30.0
140,University of La Verne,1,University of La Verne offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores.,7276,0.509,1020,1205,20.0,26.0
141,Clemson University,1,Clemson has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29070,0.513,1230,1400,27.0,32.0
142,Austin College,1,Austin College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,4360,0.513,1110,1290,24.0,29.0
143,University of California—​Santa Cruz,1,UCSC has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,55906,0.515,1200,1360,24.0,30.0
144,University of Washington--Seattle,1,The University of Washington--Seattle offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,45579,0.518,1240,1440,27.0,33.0
145,California State University--Fullerton,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,50105,0.527,1030,1200,19.0,24.0
146,University of Wisconsin—​Madison,1,The University of Wisiconsin--Madison has adopted temporary test optional policy for students applying through Summer 2023.,43921,0.53,1330,1450,27.0,32.0
147,Colorado School of Mines,1,Colorado School of Mines has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,11756,0.531,1260,1460,27.0,33.0
148,Chapman University,1,Chapman offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,14198,0.536,1190,1370,25.0,30.0
149,Ohio State University—​Columbus,1,OSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However home-schooled students and students who attend a non-chartered high school are not eligible for test optional admission.,47703,0.537,1250,1460,28.0,32.0
150,Texas Lutheran University,1,Texas Lutheran University has adopted a one-year test optional policy for domestic first-year applicants in the 2020-21 admission cycle.,2198,0.5429999999999999,990,1160,19.0,25.0
151,University at Albany—​SUNY,1,The University at Albany-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,27529,0.5429999999999999,1090,1250,22.0,28.0
152,Georgia Southern,1,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13858,0.545,1050,1200,20.0,25.0
