school name,charter number,site type,more details,statistical info,county
Inspire School of Arts and Sciences,1114,Site-based Instruction,Inspire School of Arts and Sciences,DataQuest Reports,Butte
Ipakanni Early College Charter,1170,Site-based Instruction,Ipakanni Early College Charter,DataQuest Reports,Butte
Nord Country,729,Site-based Instruction,Nord Country,DataQuest Reports,Butte
Paradise Charter Middle,79,Site-based Instruction,Paradise Charter Middle,DataQuest Reports,Butte
Pivot Charter School North Valley II,1982,Independent Study,Pivot Charter School North Valley II,DataQuest Reports,Butte
Sherwood Montessori,1166,Site-based Instruction,Sherwood Montessori,DataQuest Reports,Butte
Stream Charter,1616,Site-based Instruction,Stream Charter,DataQuest Reports,Butte
Wildflower Open Classroom,1280,Site-based Instruction,Wildflower Open Classroom,DataQuest Reports,Butte
Mountain Oaks,527,Independent Study,Mountain Oaks,DataQuest Reports,Calaveras
Antioch Charter Academy,143,Site-based Instruction,Antioch Charter Academy,DataQuest Reports,Contra Costa
Antioch Charter Academy II,909,Site-based Instruction,Antioch Charter Academy II,DataQuest Reports,Contra Costa
Aspire Richmond Ca. College Preparatory Academy,1739,Site-based Instruction,Aspire Richmond Ca. College Preparatory Academy,DataQuest Reports,Contra Costa
Aspire Richmond Technology Academy,1740,Site-based Instruction,Aspire Richmond Technology Academy,DataQuest Reports,Contra Costa
Caliber: Beta Academy,1622,Site-based Instruction,Caliber: Beta Academy,DataQuest Reports,Contra Costa
Clayton Valley Charter High,1400,Site-based Instruction,Clayton Valley Charter High,DataQuest Reports,Contra Costa
Contra Costa School of Performing Arts,1773,Site-based Instruction,Contra Costa School of Performing Arts,DataQuest Reports,Contra Costa
Eagle Peak Montessori,305,Site-based Instruction,Eagle Peak Montessori,DataQuest Reports,Contra Costa
Golden Gate Community,1887,Combination of Site-based and IS,Golden Gate Community,DataQuest Reports,Contra Costa
Invictus Academy of Richmond,1933,Site-based Instruction,Invictus Academy of Richmond,DataQuest Reports,Contra Costa
John Henry High,1741,Site-based Instruction,John Henry High,DataQuest Reports,Contra Costa
Leadership Public Schools: Richmond,557,Site-based Instruction,Leadership Public Schools: Richmond,DataQuest Reports,Contra Costa
Making Waves Academy,868,Site-based Instruction,Making Waves Academy,DataQuest Reports,Contra Costa
Manzanita Middle,333,Site-based Instruction,Manzanita Middle,DataQuest Reports,Contra Costa
Richmond Charter Academy,1441,Site-based Instruction,Richmond Charter Academy,DataQuest Reports,Contra Costa
Richmond Charter Elementary-Benito Juarez,1660,Site-based Instruction,Richmond Charter Elementary-Benito Juarez,DataQuest Reports,Contra Costa
Richmond College Preparatory,755,Site-based Instruction,Richmond College Preparatory,DataQuest Reports,Contra Costa
Rocketship Delta Prep,1965,Site-based Instruction,Rocketship Delta Prep,DataQuest Reports,Contra Costa
Rocketship Futuro Academy,1805,Site-based Instruction,Rocketship Futuro Academy,DataQuest Reports,Contra Costa
Summit Public School K2,1650,Site-based Instruction,Summit Public School K2,DataQuest Reports,Contra Costa
Summit Public School: Tamalpais,1774,Site-based Instruction,Summit Public School: Tamalpais,DataQuest Reports,Contra Costa
Vista Oaks Charter,1684,Independent Study,Vista Oaks Charter,DataQuest Reports,Contra Costa
Voices College -Bound Language Academy at West Contra Costa County,1906,Site-based Instruction,Voices College -Bound Language Academy at West Contra Costa County,DataQuest Reports,Contra Costa
Castle Rock,358,Independent Study,Castle Rock,DataQuest Reports,Del Norte
Uncharted Shores Academy,859,Independent Study,Uncharted Shores Academy,DataQuest Reports,Del Norte
American River Charter,1176,Combination of Site-based and IS,American River Charter,DataQuest Reports,El Dorado
Buckeye Union Mandarin Immersion Charter,1999,Site-based Instruction,Buckeye Union Mandarin Immersion Charter,DataQuest Reports,El Dorado
California Montessori Project-Shingle Springs Campus,774,Site-based Instruction,California Montessori Project-Shingle Springs Campus,DataQuest Reports,El Dorado
Camino Polytechnic,1150,Site-based Instruction,Camino Polytechnic,DataQuest Reports,El Dorado
Charter Alternative Program (CAP),360,Combination of Site-based and IS,Charter Alternative Program (CAP),DataQuest Reports,El Dorado
Charter Community School Home Study Academy,5,Combination of Site-based and IS,Charter Community School Home Study Academy,DataQuest Reports,El Dorado
Charter Montessori Valley View Campus,665,Site-based Instruction,Charter Montessori Valley View Campus,DataQuest Reports,El Dorado
Clarksville Charter,1891,Independent Study,Clarksville Charter,DataQuest Reports,El Dorado
Cottonwood,1964,Combination of Site-based and IS,Cottonwood,DataQuest Reports,El Dorado
EDUHSD Virtual Academy at Shenandoah,366,Combination of Site-based and IS,EDUHSD Virtual Academy at Shenandoah,DataQuest Reports,El Dorado
John Adams Academy - El Dorado Hills,1880,Site-based Instruction,John Adams Academy - El Dorado Hills,DataQuest Reports,El Dorado
Rising Sun Montessori,1655,Site-based Instruction,Rising Sun Montessori,DataQuest Reports,El Dorado
Rite of Passage,53,Site-based Instruction,Rite of Passage,DataQuest Reports,El Dorado
Alvina Elementary Charter,D5,Site-based Instruction,Alvina Elementary Charter,DataQuest Reports,Fresno
Ambassador Phillip V. Sanchez II Public Charter,1905,Independent Study,Ambassador Phillip V. Sanchez II Public Charter,DataQuest Reports,Fresno
Aspen Meadow Public,1792,Site-based Instruction,Aspen Meadow Public,DataQuest Reports,Fresno
Aspen Ridge Public School,2115,Site-based Instruction,Aspen Ridge Public School,DataQuest Reports,Fresno
Aspen Valley Prep Academy,662,Site-based Instruction,Aspen Valley Prep Academy,DataQuest Reports,Fresno
Big Picture Educational Academy,1085,Combination of Site-based and IS,Big Picture Educational Academy,DataQuest Reports,Fresno
California Virtual Academy at Fresno,1492,Independent Study,California Virtual Academy at Fresno,DataQuest Reports,Fresno
Career Technical Education Charter,1850,Site-based Instruction,Career Technical Education Charter,DataQuest Reports,Fresno
Carter G. Woodson Public Charter,378,Combination of Site-based and IS,Carter G. Woodson Public Charter,DataQuest Reports,Fresno
Central Valley Home,D2,Independent Study,Central Valley Home,DataQuest Reports,Fresno
Clovis Global Academy,2101,Site-based Instruction,Clovis Global Academy,DataQuest Reports,Fresno
Clovis Online Charter,1006,Combination of Site-based and IS,Clovis Online Charter,DataQuest Reports,Fresno
Crescent View South II,1893,Independent Study,Crescent View South II,DataQuest Reports,Fresno
Crescent View West Public Charter,746,Independent Study,Crescent View West Public Charter,DataQuest Reports,Fresno
Edison-Bethune Charter Academy,195,Site-based Instruction,Edison-Bethune Charter Academy,DataQuest Reports,Fresno
Endeavor Charter School,2099,Independent Study,Endeavor Charter School,DataQuest Reports,Fresno
Hallmark Charter,257,Combination of Site-based and IS,Hallmark Charter,DataQuest Reports,Fresno
Hume Lake Charter,787,Site-based Instruction,Hume Lake Charter,DataQuest Reports,Fresno
Inspire Charter School - Central,1841,Independent Study,Inspire Charter School - Central,DataQuest Reports,Fresno
Island Community Day,D2,Independent Study,Island Community Day,DataQuest Reports,Fresno
Kepler Neighborhood,1503,Site-based Instruction,Kepler Neighborhood,DataQuest Reports,Fresno
Kings Canyon Online,1074,Independent Study,Kings Canyon Online,DataQuest Reports,Fresno
Lincoln Elementary,D2,Site-based Instruction,Lincoln Elementary,DataQuest Reports,Fresno
Morris E. Dailey Charter Elementary,1172,Site-based Instruction,Morris E. Dailey Charter Elementary,DataQuest Reports,Fresno
Quail Lake Environmental Charter,258,Site-based Instruction,Quail Lake Environmental Charter,DataQuest Reports,Fresno
Rafer Johnson Junior High,D2,Site-based Instruction,Rafer Johnson Junior High,DataQuest Reports,Fresno
Reedley Middle College High,1513,Site-based Instruction,Reedley Middle College High,DataQuest Reports,Fresno
Ronald W. Reagan Elementary,D2,Site-based Instruction,Ronald W. Reagan Elementary,DataQuest Reports,Fresno
Roosevelt Elementary,D2,Site-based Instruction,Roosevelt Elementary,DataQuest Reports,Fresno
Sanger Academy Charter,283,Site-based Instruction,Sanger Academy Charter,DataQuest Reports,Fresno
School of Unlimited Learning,149,Combination of Site-based and IS,School of Unlimited Learning,DataQuest Reports,Fresno
Sierra Charter,898,Independent Study,Sierra Charter,DataQuest Reports,Fresno
The Golden Charter Academy,2113,Site-based Instruction,The Golden Charter Academy,DataQuest Reports,Fresno
University High,890,Site-based Instruction,University High,DataQuest Reports,Fresno
W.E.B. DuBois Public Charter,270,Combination of Site-based and IS,W.E.B. DuBois Public Charter,DataQuest Reports,Fresno
Washington Elementary,D2,Site-based Instruction,Washington Elementary,DataQuest Reports,Fresno
West Park Charter Academy,44,Combination of Site-based and IS,West Park Charter Academy,DataQuest Reports,Fresno
Lake View Charter,2069,Independent Study,Lake View Charter,DataQuest Reports,Glenn
Success One!,1666,Independent Study,Success One!,DataQuest Reports,Glenn
Walden Academy,1350,Site-based Instruction,Walden Academy,DataQuest Reports,Glenn
William Finch,634,Independent Study,William Finch,DataQuest Reports,Glenn
Agnes J Johnson Charter,2103,Combination of Site-based and IS,Agnes J Johnson Charter,DataQuest Reports,Humboldt
Alder Grove Charter School 2,1962,Independent Study,Alder Grove Charter School 2,DataQuest Reports,Humboldt
Coastal Grove Charter,466,Combination of Site-based and IS,Coastal Grove Charter,DataQuest Reports,Humboldt
Freshwater Charter Middle,173,Site-based Instruction,Freshwater Charter Middle,DataQuest Reports,Humboldt
Fuente Nueva Charter,744,Site-based Instruction,Fuente Nueva Charter,DataQuest Reports,Humboldt
Laurel Tree Charter,1320,Site-based Instruction,Laurel Tree Charter,DataQuest Reports,Humboldt
Northcoast Preparatory and Performing Arts Academy,930,Site-based Instruction,Northcoast Preparatory and Performing Arts Academy,DataQuest Reports,Humboldt
Northern United - Humboldt Charter,1957,Independent Study,Northern United - Humboldt Charter,DataQuest Reports,Humboldt
Pacific View Charter 2.0,1884,Independent Study,Pacific View Charter 2.0,DataQuest Reports,Humboldt
Redwood Coast Montessori,1496,Site-based Instruction,Redwood Coast Montessori,DataQuest Reports,Humboldt
Redwood Preparatory Charter,1304,Site-based Instruction,Redwood Preparatory Charter,DataQuest Reports,Humboldt
Six Rivers Charter High,642,Combination of Site-based and IS,Six Rivers Charter High,DataQuest Reports,Humboldt
South Bay Charter,1303,Combination of Site-based and IS,South Bay Charter,DataQuest Reports,Humboldt
Trillium Charter,891,Site-based Instruction,Trillium Charter,DataQuest Reports,Humboldt
Union Street Charter,769,Site-based Instruction,Union Street Charter,DataQuest Reports,Humboldt
Ballington Academy for the Arts and Sciences,1030,Site-based Instruction,Ballington Academy for the Arts and Sciences,DataQuest Reports,Imperial
Imperial Pathways Charter,1815,Independent Study,Imperial Pathways Charter,DataQuest Reports,Imperial
Imperial Valley Home School Academy,1249,Independent Study,Imperial Valley Home School Academy,DataQuest Reports,Imperial
College Bridge Academy,1593,Site-based Instruction,College Bridge Academy,DataQuest Reports,Inyo
The Education Corps,1594,Site-based Instruction,The Education Corps,DataQuest Reports,Inyo
YouthBuild Charter School of California,1012,Site-based Instruction,YouthBuild Charter School of California,DataQuest Reports,Inyo
Blue Ridge Academy,1816,Independent Study,Blue Ridge Academy,DataQuest Reports,Kern
California Virtual Academy at Maricopa,1490,Independent Study,California Virtual Academy at Maricopa,DataQuest Reports,Kern
Cecil Avenue Math and Science Academy,1184,Site-based Instruction,Cecil Avenue Math and Science Academy,DataQuest Reports,Kern
Del Vista Math and Science Academy,1352,Site-based Instruction,Del Vista Math and Science Academy,DataQuest Reports,Kern
Grimmway Academy,1292,Site-based Instruction,Grimmway Academy,DataQuest Reports,Kern
Grimmway Academy Shafter,1847,Site-based Instruction,Grimmway Academy Shafter,DataQuest Reports,Kern
Heartland Charter,1998,Independent Study,Heartland Charter,DataQuest Reports,Kern
Insight School of California,1491,Independent Study,Insight School of California,DataQuest Reports,Kern
Kern Workforce 2000 Academy,71,Site-based Instruction,Kern Workforce 2000 Academy,DataQuest Reports,Kern
Nueva Vista Language Academy,1109,Site-based Instruction,Nueva Vista Language Academy,DataQuest Reports,Kern
Peak to Peak Mountain Charter,1575,Site-based Instruction,Peak to Peak Mountain Charter,DataQuest Reports,Kern
"Ridgecrest Elementary Academy for Language, Music, and Science",2050,Site-based Instruction,"Ridgecrest Elementary Academy for Language, Music, and Science",DataQuest Reports,Kern
Valley Oaks Charter,332,Independent Study,Valley Oaks Charter,DataQuest Reports,Kern
Wonderful College Prep Academy,1078,Site-based Instruction,Wonderful College Prep Academy,DataQuest Reports,Kern
Wonderful College Prep Academy - Lost Hills,1851,Site-based Instruction,Wonderful College Prep Academy - Lost Hills,DataQuest Reports,Kern
California Virtual Academy at Kings,840,Independent Study,California Virtual Academy at Kings,DataQuest Reports,Kings
Crossroads Charter,571,Independent Study,Crossroads Charter,DataQuest Reports,Kings
Frontier Elementary,D1,Site-based Instruction,Frontier Elementary,DataQuest Reports,Kings
Hanford Online Charter,1997,Independent Study,Hanford Online Charter,DataQuest Reports,Kings
Island Elementary,D6,Site-based Instruction,Island Elementary,DataQuest Reports,Kings
Kings River-Hardwick Elementary,D7,Site-based Instruction,Kings River-Hardwick Elementary,DataQuest Reports,Kings
Kings Valley Academy II,1896,Independent Study,Kings Valley Academy II,DataQuest Reports,Kings
Lemoore Middle College High,1068,Site-based Instruction,Lemoore Middle College High,DataQuest Reports,Kings
Lemoore Online College Preparatory High,1877,Independent Study,Lemoore Online College Preparatory High,DataQuest Reports,Kings
Lemoore University Elementary Charter,489,Site-based Instruction,Lemoore University Elementary Charter,DataQuest Reports,Kings
Mid Valley Alternative Charter,88,Independent Study,Mid Valley Alternative Charter,DataQuest Reports,Kings
Pioneer Elementary,D1,Site-based Instruction,Pioneer Elementary,DataQuest Reports,Kings
Pioneer Middle,D1,Site-based Instruction,Pioneer Middle,DataQuest Reports,Kings
California Connections Academy @ North Bay,1653,Independent Study,California Connections Academy @ North Bay,DataQuest Reports,Lake
Lake County International Charter,681,Site-based Instruction,Lake County International Charter,DataQuest Reports,Lake
Long Valley,2067,Combination of Site-based and IS,Long Valley,DataQuest Reports,Lassen
Mt. Lassen Charter,1185,Combination of Site-based and IS,Mt. Lassen Charter,DataQuest Reports,Lassen
Thompson Peak Charter,2066,Independent Study,Thompson Peak Charter,DataQuest Reports,Lassen
California Pacific Charter- Los Angeles,1751,Independent Study,California Pacific Charter- Los Angeles,DataQuest Reports,Los Angeles
Academia Avance Charter,738,Site-based Instruction,Academia Avance Charter,DataQuest Reports,Los Angeles
Academia Moderna,1101,Site-based Instruction,Academia Moderna,DataQuest Reports,Los Angeles
Academies of the Antelope Valley,1415,Combination of Site-based and IS,Academies of the Antelope Valley,DataQuest Reports,Los Angeles
Academy of Media Arts,2038,Site-based Instruction,Academy of Media Arts,DataQuest Reports,Los Angeles
Accelerated,45,Site-based Instruction,Accelerated,DataQuest Reports,Los Angeles
Accelerated Charter Elementary,539,Site-based Instruction,Accelerated Charter Elementary,DataQuest Reports,Los Angeles
Alain Leroy Locke College Preparatory Academy,1050,Site-based Instruction,Alain Leroy Locke College Preparatory Academy,DataQuest Reports,Los Angeles
Alfred B. Nobel Charter Middle,1480,Site-based Instruction,Alfred B. Nobel Charter Middle,DataQuest Reports,Los Angeles
Alliance Cindy and Bill Simon Technology Academy High,1161,Site-based Instruction,Alliance Cindy and Bill Simon Technology Academy High,DataQuest Reports,Los Angeles
Alliance College-Ready Middle Academy 12,1533,Site-based Instruction,Alliance College-Ready Middle Academy 12,DataQuest Reports,Los Angeles
Alliance College-Ready Middle Academy 4,1096,Site-based Instruction,Alliance College-Ready Middle Academy 4,DataQuest Reports,Los Angeles
Alliance College-Ready Middle Academy 8,1531,Site-based Instruction,Alliance College-Ready Middle Academy 8,DataQuest Reports,Los Angeles
Alliance Collins Family College-Ready High,718,Site-based Instruction,Alliance Collins Family College-Ready High,DataQuest Reports,Los Angeles
Alliance Dr. Olga Mohan High,790,Site-based Instruction,Alliance Dr. Olga Mohan High,DataQuest Reports,Los Angeles
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,645,Site-based Instruction,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,DataQuest Reports,Los Angeles
Alliance Jack H. Skirball Middle,779,Site-based Instruction,Alliance Jack H. Skirball Middle,DataQuest Reports,Los Angeles
Alliance Judy Ivie Burton Technology Academy,714,Site-based Instruction,Alliance Judy Ivie Burton Technology Academy,DataQuest Reports,Los Angeles
Alliance Kory Hunter Middle,1532,Site-based Instruction,Alliance Kory Hunter Middle,DataQuest Reports,Los Angeles
Alliance Leichtman-Levine Family Foundation Environmental Science High,929,Site-based Instruction,Alliance Leichtman-Levine Family Foundation Environmental Science High,DataQuest Reports,Los Angeles
Alliance Marc & Eva Stern Math and Science,788,Site-based Instruction,Alliance Marc & Eva Stern Math and Science,DataQuest Reports,Los Angeles
Alliance Margaret M. Bloomfield Technology Academy High,1356,Site-based Instruction,Alliance Margaret M. Bloomfield Technology Academy High,DataQuest Reports,Los Angeles
Alliance Marine - Innovation and Technology 6-12 Complex,1738,Site-based Instruction,Alliance Marine - Innovation and Technology 6-12 Complex,DataQuest Reports,Los Angeles
Alliance Morgan McKinzie High,928,Site-based Instruction,Alliance Morgan McKinzie High,DataQuest Reports,Los Angeles
Alliance Ouchi-O'Donovan 6-12 Complex,784,Site-based Instruction,Alliance Ouchi-O'Donovan 6-12 Complex,DataQuest Reports,Los Angeles
Alliance Patti And Peter Neuwirth Leadership Academy,789,Site-based Instruction,Alliance Patti And Peter Neuwirth Leadership Academy,DataQuest Reports,Los Angeles
Alliance Piera Barbaglia Shaheen Health Services Academy,927,Site-based Instruction,Alliance Piera Barbaglia Shaheen Health Services Academy,DataQuest Reports,Los Angeles
Alliance Renee and Meyer Luskin Academy High,1343,Site-based Instruction,Alliance Renee and Meyer Luskin Academy High,DataQuest Reports,Los Angeles
Alliance Susan and Eric Smidt Technology High,1163,Site-based Instruction,Alliance Susan and Eric Smidt Technology High,DataQuest Reports,Los Angeles
Alliance Ted K. Tajima High,1164,Site-based Instruction,Alliance Ted K. Tajima High,DataQuest Reports,Los Angeles
Alliance Tennenbaum Family Technology High,1162,Site-based Instruction,Alliance Tennenbaum Family Technology High,DataQuest Reports,Los Angeles
Alliance Virgil Roberts Leadership Academy,1530,Site-based Instruction,Alliance Virgil Roberts Leadership Academy,DataQuest Reports,Los Angeles
Alma Fuerte Public,1859,Site-based Instruction,Alma Fuerte Public,DataQuest Reports,Los Angeles
Anahuacalmecac International University Preparatory of North America,1685,Site-based Instruction,Anahuacalmecac International University Preparatory of North America,DataQuest Reports,Los Angeles
Animo City of Champions Charter High,1874,Site-based Instruction,Animo City of Champions Charter High,DataQuest Reports,Los Angeles
Ánimo Compton Charter,1990,Site-based Instruction,Ánimo Compton Charter,DataQuest Reports,Los Angeles
Animo Ellen Ochoa Charter Middle,1286,Site-based Instruction,Animo Ellen Ochoa Charter Middle,DataQuest Reports,Los Angeles
Animo Florence-Firestone Charter Middle,1794,Site-based Instruction,Animo Florence-Firestone Charter Middle,DataQuest Reports,Los Angeles
Animo Inglewood Charter High,432,Site-based Instruction,Animo Inglewood Charter High,DataQuest Reports,Los Angeles
Animo Jackie Robinson High,793,Site-based Instruction,Animo Jackie Robinson High,DataQuest Reports,Los Angeles
Animo James B. Taylor Charter Middle,1287,Site-based Instruction,Animo James B. Taylor Charter Middle,DataQuest Reports,Los Angeles
Animo Jefferson Charter Middle,1216,Site-based Instruction,Animo Jefferson Charter Middle,DataQuest Reports,Los Angeles
Animo Leadership High,281,Site-based Instruction,Animo Leadership High,DataQuest Reports,Los Angeles
Animo Mae Jemison Charter Middle,1624,Site-based Instruction,Animo Mae Jemison Charter Middle,DataQuest Reports,Los Angeles
Animo Pat Brown,649,Site-based Instruction,Animo Pat Brown,DataQuest Reports,Los Angeles
Animo Ralph Bunche Charter High,781,Site-based Instruction,Animo Ralph Bunche Charter High,DataQuest Reports,Los Angeles
Animo South Los Angeles Charter,602,Site-based Instruction,Animo South Los Angeles Charter,DataQuest Reports,Los Angeles
Animo Venice Charter High,648,Site-based Instruction,Animo Venice Charter High,DataQuest Reports,Los Angeles
Animo Watts College Preparatory Academy,783,Site-based Instruction,Animo Watts College Preparatory Academy,DataQuest Reports,Los Angeles
Animo Western Charter Middle,1288,Site-based Instruction,Animo Western Charter Middle,DataQuest Reports,Los Angeles
Animo Westside Charter Middle,1217,Site-based Instruction,Animo Westside Charter Middle,DataQuest Reports,Los Angeles
Antelope Valley Learning Academy,841,Independent Study,Antelope Valley Learning Academy,DataQuest Reports,Los Angeles
APEX Academy,1459,Site-based Instruction,APEX Academy,DataQuest Reports,Los Angeles
Ararat Charter,1156,Site-based Instruction,Ararat Charter,DataQuest Reports,Los Angeles
Arts in Action Community Charter,1218,Site-based Instruction,Arts in Action Community Charter,DataQuest Reports,Los Angeles
Arts in Action Community Middle,1806,Site-based Instruction,Arts in Action Community Middle,DataQuest Reports,Los Angeles
Aspire Antonio Maria Lugo Academy,694,Site-based Instruction,Aspire Antonio Maria Lugo Academy,DataQuest Reports,Los Angeles
Aspire Centennial College Preparatory Academy,1436,Site-based Instruction,Aspire Centennial College Preparatory Academy,DataQuest Reports,Los Angeles
Aspire Firestone Academy Charter,1214,Site-based Instruction,Aspire Firestone Academy Charter,DataQuest Reports,Los Angeles
Aspire Gateway Academy Charter,1213,Site-based Instruction,Aspire Gateway Academy Charter,DataQuest Reports,Los Angeles
Aspire Inskeep Academy Charter,1332,Site-based Instruction,Aspire Inskeep Academy Charter,DataQuest Reports,Los Angeles
Aspire Juanita Tate Academy Charter,1331,Site-based Instruction,Aspire Juanita Tate Academy Charter,DataQuest Reports,Los Angeles
Aspire Junior Collegiate Academy,1551,Site-based Instruction,Aspire Junior Collegiate Academy,DataQuest Reports,Los Angeles
